 0.05  4.074e-01
 0.15  3.974e-01
 0.25  3.816e-01
 0.35  3.565e-01
 0.45  3.286e-01
 0.55  3.002e-01
 0.65  2.698e-01
 0.75  2.411e-01
 0.85  2.112e-01
 0.95  1.867e-01
 1.05  1.621e-01
 1.15  1.401e-01
 1.25  1.206e-01
 1.35  1.013e-01
 1.45  8.088e-02
 1.55  6.051e-02
 1.65  3.048e-02
 1.75  9.660e-03
 1.85  4.705e-03
 1.95  2.903e-03
 2.05  1.719e-03
 2.15  8.816e-04
 2.25  4.487e-04
 2.35  2.373e-04
 2.45  6.756e-05
 2.55  3.147e-05
 2.65  2.135e-05
 2.75 -2.912e-05
 2.85  6.628e-07
 2.95  5.000e-06
