      0	      1	 0.1625	0.0412453
      0	      2	 0.3125	0.0321388
      0	      3	0.514286	0.0298685
      0	      4	0.604839	0.0253475
      0	      5	0.589109	0.0244777
      0	      6	0.609195	0.0233945
      0	      7	0.677273	0.0222881
      0	      8	0.648262	0.0215939
      0	      9	0.695464	0.0213878
      0	     10	0.653144	0.0214366
      0	     11	0.687375	0.0207519
      0	     12	0.682879	0.0205259
      0	     13	0.675732	0.0214104
      0	     14	0.673956	0.0209011
      0	     15	0.705882	0.0198482
      0	     16	0.687129	0.0206327
      0	     17	0.739852	0.0188444
      0	     18	0.714026	0.0192857
      0	     19	0.700576	0.0200656
      1	      1	0.123457	0.0365512
      1	      2	0.477387	0.0354078
      1	      3	0.643939	0.0294702
      1	      4	0.71988	0.0246453
      1	      5	0.729323	0.0222433
      1	      6	0.746929	0.0215508
      1	      7	0.728132	0.0216328
      1	      8	0.748918	0.0201746
      1	      9	0.76875	0.0192448
      1	     10	0.762846	0.0189086
      1	     11	0.819066	0.01698
      1	     12	0.800391	0.017682
      1	     13	0.782609	0.0175559
      1	     14	0.794626	0.0176985
      1	     15	0.797297	0.0176634
      1	     16	0.809901	0.0174606
      1	     17	0.813187	0.0166803
      1	     18	0.80322	0.0168152
      1	     19	0.813725	0.0172397
      2	      1	0.166667	0.0507151
      2	      2	0.424242	0.0384756
      2	      3	0.613821	0.0310419
      2	      4	0.68942	0.027033
      2	      5	0.758065	0.022204
      2	      6	0.700535	0.0236838
      2	      7	0.760563	0.0206756
      2	      8	0.774554	0.0197428
      2	      9	0.810458	0.0182941
      2	     10	0.800439	0.0187163
      2	     11	0.80663	0.0169485
      2	     12	 0.7751	0.0187093
      2	     13	0.821839	0.0167481
      2	     14	0.796844	0.0178689
      2	     15	0.808429	0.0172247
      2	     16	0.800416	0.0182242
      2	     17	0.801541	0.0175071
      2	     18	0.819802	0.0171035
      2	     19	0.82218	0.0167195
      3	      1	0.126761	0.0394848
      3	      2	0.472393	0.0391033
      3	      3	0.618868	0.0298342
      3	      4	0.686335	0.0258567
      3	      5	0.720812	0.0226001
      3	      6	0.73057	0.0225819
      3	      7	0.769737	0.0197152
      3	      8	0.774266	0.0198628
      3	      9	0.756871	0.0197242
      3	     10	0.751527	0.0195016
      3	     11	0.745182	0.0201645
      3	     12	0.787018	0.0184391
      3	     13	0.788501	0.0185051
      3	     14	0.741748	0.0192862
      3	     15	0.817048	0.0176287
      3	     16	0.832016	0.0166198
      3	     17	0.809619	0.0175753
      3	     18	0.811429	0.017072
      3	     19	0.836096	0.0158863
      4	      1	0.0566038	0.0317418
      4	      2	0.47929	0.0384285
      4	      3	0.655319	0.0310028
      4	      4	0.710145	0.0244261
      4	      5	0.67027	0.0244401
      4	      6	0.709945	0.0238505
      4	      7	0.724374	0.021326
      4	      8	0.761682	0.0205941
