-173.57  2.881e-04 -7.911e-05
-160.71  3.269e-04 -6.537e-05
-147.86  3.689e-04 -3.331e-05
-135.00  4.035e-04 -7.953e-05
-122.14  4.510e-04 -2.873e-05
-109.29  4.597e-04 -7.745e-05
 -96.43  6.637e-04 -7.662e-05
 -83.57  7.728e-04 -1.507e-04
 -70.71  1.021e-03 -1.428e-04
 -57.86  1.329e-03  5.122e-05
 -45.00  1.622e-03 -1.595e-04
 -32.14  2.107e-03  4.705e-05
 -19.29  2.288e-03  4.997e-06
  -6.43  2.549e-03 -1.620e-04
   6.43  2.533e-03 -1.657e-04
  19.29  2.181e-03 -1.541e-05
  32.14  1.920e-03 -5.080e-05
  45.00  1.618e-03 -2.128e-04
  57.86  1.227e-03 -1.345e-04
  70.71  9.985e-04 -9.993e-05
  83.57  7.895e-04 -8.994e-05
  96.43  8.070e-04  1.416e-05
 109.29  5.696e-04 -1.083e-05
 122.14  4.376e-04 -1.624e-05
 135.00  3.964e-04 -7.662e-05
 147.86  3.968e-04  6.246e-06
 160.71  3.464e-04 -7.828e-05
 173.57  3.110e-04 -7.370e-05
