denom_pi: 4889 5014
denom_K: 1157 1104
denom_p: 385 351
denom_allcharges: 7438 7471
denom_allcharges_phi0: 660 663
denom_allcharges_phi45: 1235 1248
denom_allcharges_phi90: 589 554
dNdy_pi: 723.3
dNdy_K: 123.3
dNdy_p: 61.85
