 5.00  5.333e-08  3.821e-04  2.920e-04  1.703e-04
15.00 -2.408e-07  3.736e-04  3.013e-04  1.711e-04
25.00 -3.687e-07  3.838e-04  3.090e-04  1.627e-04
35.00 -1.711e-06  3.768e-04  3.122e-04  1.731e-04
45.00 -3.201e-06  3.784e-04  3.029e-04  1.667e-04
55.00 -3.706e-06  3.708e-04  3.060e-04  1.732e-04
65.00 -4.862e-06  3.789e-04  3.025e-04  1.791e-04
75.00 -7.622e-06  3.805e-04  3.135e-04  1.705e-04
85.00 -7.361e-06  3.691e-04  3.170e-04  1.754e-04
95.00 -8.313e-06  3.734e-04  3.129e-04  1.820e-04
105.00 -1.343e-05  3.729e-04  3.194e-04  1.878e-04
115.00 -1.444e-05  3.784e-04  3.201e-04  1.901e-04
125.00 -1.530e-05  3.702e-04  3.215e-04  1.908e-04
135.00 -1.735e-05  3.675e-04  3.142e-04  1.941e-04
145.00 -2.099e-05  3.723e-04  3.273e-04  1.886e-04
155.00 -2.487e-05  3.673e-04  3.213e-04  1.992e-04
165.00 -2.164e-05  3.687e-04  3.301e-04  1.961e-04
175.00 -2.661e-05  3.658e-04  3.286e-04  2.065e-04
185.00 -2.767e-05  3.616e-04  3.333e-04  2.060e-04
195.00 -2.801e-05  3.618e-04  3.317e-04  2.113e-04
205.00 -2.980e-05  3.643e-04  3.297e-04  2.202e-04
215.00 -2.902e-05  3.610e-04  3.414e-04  2.208e-04
225.00 -3.407e-05  3.594e-04  3.360e-04  2.207e-04
235.00 -3.480e-05  3.624e-04  3.408e-04  2.259e-04
245.00 -3.193e-05  3.497e-04  3.530e-04  2.177e-04
255.00 -3.158e-05  3.511e-04  3.576e-04  2.326e-04
265.00 -3.286e-05  3.460e-04  3.490e-04  2.403e-04
275.00 -3.041e-05  3.495e-04  3.469e-04  2.398e-04
285.00 -2.849e-05  3.435e-04  3.547e-04  2.447e-04
295.00 -2.501e-05  3.465e-04  3.523e-04  2.482e-04
