 0.05  2.255e-01
 0.15  2.176e-01
 0.25  2.053e-01
 0.35  1.897e-01
 0.45  1.734e-01
 0.55  1.528e-01
 0.65  1.357e-01
 0.75  1.192e-01
 0.85  1.024e-01
 0.95  8.793e-02
 1.05  7.559e-02
 1.15  6.495e-02
 1.25  5.730e-02
 1.35  4.875e-02
 1.45  4.325e-02
 1.55  3.824e-02
 1.65  3.352e-02
 1.75  2.970e-02
 1.85  2.657e-02
 1.95  2.337e-02
 2.05  1.349e-02
 2.15  6.635e-03
 2.25  3.913e-03
 2.35  2.549e-03
 2.45  1.776e-03
 2.55  1.006e-03
 2.65  8.292e-04
 2.75  4.112e-04
 2.85  4.372e-04
 2.95  3.729e-04
