 20.0 0.064792 -0.064792 -0.000000 -0.064792 0.064792 -0.000000 -0.000000 -0.000000 0.000000 
 25.0 0.076396 -0.076396 -0.000000 -0.076396 0.076396 -0.000000 -0.000000 -0.000000 0.000001 
 30.0 0.086264 -0.086261 -0.000003 -0.086261 0.086264 -0.000003 -0.000003 -0.000003 0.000006 
 35.0 0.094676 -0.094657 -0.000019 -0.094657 0.094674 -0.000017 -0.000019 -0.000017 0.000036 
 40.0 0.101824 -0.101754 -0.000070 -0.101754 0.101818 -0.000064 -0.000070 -0.000064 0.000134 
 45.0 0.107826 -0.107633 -0.000192 -0.107633 0.107811 -0.000178 -0.000192 -0.000178 0.000370 
 50.0 0.112751 -0.112322 -0.000427 -0.112322 0.112723 -0.000398 -0.000427 -0.000398 0.000825 
 55.0 0.116645 -0.115819 -0.000814 -0.115819 0.116597 -0.000766 -0.000814 -0.000766 0.001581 
 60.0 0.119548 -0.118126 -0.001384 -0.118126 0.119473 -0.001309 -0.001384 -0.001309 0.002695 
 65.0 0.121510 -0.119254 -0.002148 -0.119254 0.121403 -0.002042 -0.002148 -0.002042 0.004196 
 70.0 0.122596 -0.119235 -0.003102 -0.119235 0.122454 -0.002961 -0.003102 -0.002961 0.006080 
 75.0 0.122895 -0.118119 -0.004222 -0.118119 0.122714 -0.004045 -0.004222 -0.004045 0.008312 
 80.0 0.122512 -0.115969 -0.005470 -0.115969 0.122292 -0.005258 -0.005470 -0.005258 0.010832 
 85.0 0.121572 -0.112863 -0.006796 -0.112863 0.121313 -0.006551 -0.006796 -0.006551 0.013566 
 90.0 0.120213 -0.108888 -0.008144 -0.108888 0.119917 -0.007871 -0.008144 -0.007871 0.016435 
 95.0 0.118583 -0.104142 -0.009454 -0.104142 0.118251 -0.009158 -0.009454 -0.009158 0.019358 
100.0 0.116828 -0.098733 -0.010668 -0.098733 0.116464 -0.010355 -0.010668 -0.010355 0.022265 
105.0 0.115090 -0.092777 -0.011734 -0.092777 0.114696 -0.011411 -0.011734 -0.011411 0.025097 
110.0 0.113497 -0.086395 -0.012608 -0.086395 0.113075 -0.012283 -0.012608 -0.012283 0.027810 
115.0 0.112154 -0.079712 -0.013261 -0.079712 0.111709 -0.012940 -0.013261 -0.012940 0.030376 
120.0 0.111144 -0.072849 -0.013674 -0.072849 0.110680 -0.013364 -0.013674 -0.013364 0.032780 
125.0 0.110525 -0.065923 -0.013843 -0.065923 0.110044 -0.013548 -0.013843 -0.013548 0.035021 
130.0 0.110327 -0.059036 -0.013775 -0.059036 0.109832 -0.013499 -0.013775 -0.013499 0.037105 
135.0 0.110556 -0.052280 -0.013486 -0.052280 0.110051 -0.013232 -0.013486 -0.013232 0.039045 
140.0 0.111202 -0.045725 -0.012999 -0.045725 0.110689 -0.012769 -0.012999 -0.012769 0.040859 
145.0 0.112237 -0.039428 -0.012343 -0.039428 0.111720 -0.012138 -0.012343 -0.012138 0.042565 
150.0 0.113625 -0.033427 -0.011546 -0.033427 0.113107 -0.011366 -0.011546 -0.011366 0.044180 
155.0 0.115326 -0.027745 -0.010637 -0.027745 0.114807 -0.010482 -0.010637 -0.010482 0.045720 
160.0 0.117294 -0.022392 -0.009643 -0.022392 0.116777 -0.009512 -0.009643 -0.009512 0.047199 
165.0 0.119487 -0.017369 -0.008589 -0.017369 0.118975 -0.008480 -0.008589 -0.008480 0.048629 
170.0 0.121865 -0.012669 -0.007495 -0.012669 0.121358 -0.007408 -0.007495 -0.007408 0.050020 
175.0 0.124391 -0.008278 -0.006380 -0.008278 0.123891 -0.006311 -0.006380 -0.006311 0.051378 
180.0 0.127033 -0.004180 -0.005257 -0.004180 0.126540 -0.005206 -0.005257 -0.005206 0.052709 
