#  T  chi_uu/s chi_du/s chi_su/s chi_ss/s
 20.0  0.00000 -0.00000 -0.00000  0.00000
 25.0  0.00002 -0.00002 -0.00000  0.00000
 30.0  0.00006 -0.00006 -0.00000  0.00000
 35.0  0.00016 -0.00016 -0.00000  0.00000
 40.0  0.00034 -0.00034 -0.00000  0.00000
 45.0  0.00062 -0.00062 -0.00000  0.00000
 50.0  0.00105 -0.00104 -0.00000  0.00001
 55.0  0.00164 -0.00163 -0.00001  0.00002
 60.0  0.00243 -0.00241 -0.00003  0.00005
 65.0  0.00346 -0.00340 -0.00006  0.00012
 70.0  0.00477 -0.00463 -0.00012  0.00024
 75.0  0.00639 -0.00614 -0.00022  0.00043
 80.0  0.00839 -0.00794 -0.00037  0.00074
 85.0  0.01084 -0.01007 -0.00061  0.00121
 90.0  0.01384 -0.01254 -0.00094  0.00189
 95.0  0.01751 -0.01537 -0.00140  0.00286
100.0  0.02200 -0.01859 -0.00201  0.00419
105.0  0.02753 -0.02219 -0.00281  0.00600
110.0  0.03438 -0.02617 -0.00382  0.00842
115.0  0.04291 -0.03050 -0.00507  0.01162
120.0  0.05360 -0.03513 -0.00659  0.01581
125.0  0.06703 -0.03998 -0.00839  0.02124
130.0  0.08395 -0.04492 -0.01048  0.02823
135.0  0.10531 -0.04980 -0.01285  0.03719
140.0  0.13225 -0.05438 -0.01546  0.04859
145.0  0.16617 -0.05837 -0.01827  0.06302
150.0  0.20874 -0.06141 -0.02121  0.08116
155.0  0.26195 -0.06302 -0.02416  0.10385
160.0  0.38228 -0.07321 -0.02936  0.16640
165.0  0.50619 -0.07425 -0.03211  0.24105
170.0  0.61993 -0.07011 -0.03277  0.32479
175.0  0.70825 -0.06344 -0.03177  0.41192
180.0  0.75604 -0.05790 -0.03082  0.49842
185.0  0.78511 -0.04820 -0.02815  0.54153
190.0  0.80812 -0.03981 -0.02454  0.57880
195.0  0.82089 -0.03362 -0.02148  0.61061
200.0  0.83226 -0.02890 -0.01936  0.63887
205.0  0.84217 -0.02644 -0.01790  0.66584
210.0  0.85209 -0.02398 -0.01643  0.69101
215.0  0.85832 -0.02153 -0.01497  0.70771
220.0  0.86456 -0.01907 -0.01350  0.72442
225.0  0.86964 -0.01743 -0.01364  0.74235
230.0  0.87472 -0.01579 -0.01378  0.75907
235.0  0.87865 -0.01415 -0.01393  0.77378
240.0  0.88258 -0.01250 -0.01407  0.78849
245.0  0.88615 -0.01180 -0.01351  0.80078
250.0  0.88971 -0.01109 -0.01295  0.81307
255.0  0.89303 -0.01039 -0.01240  0.82297
260.0  0.89634 -0.00968 -0.01184  0.83286
265.0  0.89932 -0.00918 -0.01062  0.84090
270.0  0.90229 -0.00867 -0.00940  0.84894
275.0  0.90494 -0.00816 -0.00818  0.85570
280.0  0.90758 -0.00766 -0.00696  0.86245
285.0  0.90993 -0.00729 -0.00659  0.86821
290.0  0.91228 -0.00693 -0.00622  0.87396
295.0  0.91438 -0.00657 -0.00585  0.87839
300.0  0.91648 -0.00621 -0.00549  0.88281
305.0  0.91831 -0.00594 -0.00375  0.88568
310.0  0.92013 -0.00568 -0.00357  0.88855
315.0  0.92196 -0.00541 -0.00341  0.89142
320.0  0.92378 -0.00514 -0.00327  0.89429
325.0  0.92523 -0.00488 -0.00315  0.89641
330.0  0.92667 -0.00461 -0.00304  0.89852
335.0  0.92811 -0.00434 -0.00293  0.90064
340.0  0.92956 -0.00408 -0.00282  0.90275
345.0  0.93064 -0.00381 -0.00271  0.90434
350.0  0.93172 -0.00354 -0.00260  0.90594
355.0  0.93280 -0.00344 -0.00248  0.90753
360.0  0.93388 -0.00334 -0.00235  0.90912
365.0  0.93475 -0.00324 -0.00222  0.91059
370.0  0.93562 -0.00314 -0.00209  0.91207
375.0  0.93649 -0.00304 -0.00196  0.91355
380.0  0.93736 -0.00294 -0.00183  0.91503
385.0  0.93824 -0.00284 -0.00169  0.91642
390.0  0.93913 -0.00274 -0.00154  0.91782
395.0  0.94001 -0.00264 -0.00138  0.91922
400.0  0.94089 -0.00254 -0.00120  0.92062
