Vol	T	Ntau	C_em^{-1}\sigma/T	Err(sys)	Err(sys+stat)
32x48	117.3	48	0.002415		0.001368	0.002947
24x40	140.7	40	0.05178			0.009011	0.03574
24x36	156.3	36	0.05537			0.01166		0.02669
32x32	175.9	32	0.06066			0.01104		0.02565
32x28	201	28	0.1046			0.01489		0.03782
32x24	234.5	24	0.2032			0.02031		0.0427
24x20	281.4	20	0.2621			0.01751		0.03985
32x16	351.8	16	0.309			0.0149		0.05206
