Volume	$T$ [MeV]	$N_\tau$	$C_{\textrm{em}}^{-1}\sigma/T$	Err (\textit{sys})	Err (\textit{sys}+\textit{stat})
24x128	43.970820513049055	128	1.7122387301587289e-06	7.962105396825398e-07	4.20478940140486e-05
32x48	117.25552136813083	48	0.0024150876767573223	0.0013677027220915798	0.0029467354987319843
24x40	140.70662564175697	40	0.05177891817753718	0.00901139523809525	0.03573964957214522
24x36	156.34069515750778	36	0.05536520459331179	0.011663920000000005	0.0266918787979201
32x32	175.88328205219622	32	0.060661048846888325	0.01103893333333333	0.025653294702806424
32x28	201.00946520250997	28	0.1045673213536867	0.014890811111111117	0.037824518142304656
32x24	234.51104273626166	24	0.20321899420089384	0.02030695238095237	0.04270000908946518
24x20	281.41325128351394	20	0.2621351034100411	0.017513809523809515	0.039847703168835485
32x16	351.76656410439244	16	0.3089502685935713	0.014896126984126984	0.052055689950904205
