 5.00  1.973e-06  1.242e-03  9.647e-04  1.292e-03
15.00  1.359e-05  1.207e-03  9.631e-04  1.285e-03
25.00  3.461e-05  1.164e-03  9.602e-04  1.270e-03
35.00  6.296e-05  1.117e-03  9.584e-04  1.253e-03
45.00  9.609e-05  1.064e-03  9.470e-04  1.231e-03
55.00  1.319e-04  1.006e-03  9.424e-04  1.206e-03
65.00  1.702e-04  9.476e-04  9.330e-04  1.176e-03
75.00  2.061e-04  8.899e-04  9.230e-04  1.140e-03
85.00  2.406e-04  8.308e-04  9.113e-04  1.105e-03
95.00  2.739e-04  7.757e-04  9.001e-04  1.067e-03
105.00  3.040e-04  7.228e-04  8.907e-04  1.025e-03
115.00  3.311e-04  6.706e-04  8.749e-04  9.866e-04
125.00  3.557e-04  6.248e-04  8.647e-04  9.472e-04
135.00  3.777e-04  5.796e-04  8.512e-04  9.044e-04
145.00  3.965e-04  5.411e-04  8.383e-04  8.668e-04
155.00  4.139e-04  5.043e-04  8.272e-04  8.236e-04
165.00  4.294e-04  4.720e-04  8.184e-04  7.847e-04
175.00  4.407e-04  4.413e-04  8.113e-04  7.462e-04
185.00  4.513e-04  4.139e-04  8.148e-04  7.094e-04
195.00  4.621e-04  3.891e-04  8.422e-04  6.740e-04
205.00  4.722e-04  3.675e-04  8.755e-04  6.399e-04
215.00  4.802e-04  3.472e-04  8.172e-04  6.069e-04
225.00  4.898e-04  3.296e-04  7.602e-04  5.740e-04
235.00  4.954e-04  3.147e-04  7.093e-04  5.429e-04
245.00  4.984e-04  3.005e-04  6.622e-04  5.132e-04
255.00  5.004e-04  2.865e-04  6.193e-04  4.822e-04
265.00  4.998e-04  2.750e-04  5.753e-04  4.542e-04
275.00  4.985e-04  2.646e-04  5.353e-04  4.259e-04
285.00  4.945e-04  2.538e-04  4.992e-04  3.989e-04
295.00  4.890e-04  2.452e-04  4.637e-04  3.764e-04
