 5.00 -1.831e-08  4.256e-04  3.403e-04  2.225e-04
15.00 -2.658e-07  4.214e-04  3.442e-04  2.282e-04
25.00 -8.714e-07  4.262e-04  3.521e-04  2.159e-04
35.00 -2.373e-06  4.250e-04  3.470e-04  2.219e-04
45.00 -3.105e-06  4.237e-04  3.525e-04  2.202e-04
55.00 -2.735e-06  4.167e-04  3.483e-04  2.183e-04
65.00 -5.349e-06  4.191e-04  3.530e-04  2.258e-04
75.00 -5.598e-06  4.177e-04  3.619e-04  2.314e-04
85.00 -8.491e-06  4.194e-04  3.561e-04  2.301e-04
95.00 -9.433e-06  4.143e-04  3.636e-04  2.327e-04
105.00 -9.387e-06  4.136e-04  3.548e-04  2.348e-04
115.00 -1.307e-05  4.186e-04  3.632e-04  2.320e-04
125.00 -1.415e-05  4.180e-04  3.577e-04  2.322e-04
135.00 -1.548e-05  4.135e-04  3.577e-04  2.348e-04
145.00 -1.769e-05  4.129e-04  3.725e-04  2.384e-04
155.00 -1.845e-05  4.089e-04  3.679e-04  2.498e-04
165.00 -1.941e-05  4.119e-04  3.743e-04  2.521e-04
175.00 -2.192e-05  4.053e-04  3.692e-04  2.508e-04
185.00 -2.001e-05  4.045e-04  3.792e-04  2.515e-04
195.00 -2.274e-05  3.998e-04  3.798e-04  2.595e-04
205.00 -2.078e-05  4.029e-04  3.738e-04  2.622e-04
215.00 -2.448e-05  3.994e-04  3.767e-04  2.615e-04
225.00 -2.067e-05  3.948e-04  3.871e-04  2.656e-04
235.00 -2.437e-05  3.995e-04  3.803e-04  2.640e-04
245.00 -2.201e-05  3.932e-04  3.815e-04  2.680e-04
255.00 -2.191e-05  3.921e-04  3.865e-04  2.779e-04
265.00 -2.017e-05  3.881e-04  3.837e-04  2.848e-04
275.00 -1.829e-05  3.826e-04  3.904e-04  2.793e-04
285.00 -1.748e-05  3.841e-04  3.900e-04  2.820e-04
295.00 -1.192e-05  3.794e-04  3.935e-04  2.878e-04
