denom_pi: 7213 7199
denom_K: 1223 1183
denom_p: 558 610
denom_allcharges: 8994 8992
denom_allcharges_phi0: 795 769
denom_allcharges_phi45: 1495 1563
denom_allcharges_phi90: 708 718
dNdy_pi: 720.6
dNdy_K: 120.3
dNdy_p: 58.4
