-173.57  4.034e-04 -3.486e-05
-160.71  5.130e-04 -1.494e-05
-147.86  3.337e-04  1.345e-04
-135.00  4.732e-04  1.494e-05
-122.14  4.831e-04 -9.463e-05
-109.29  4.582e-04 -9.961e-06
 -96.43  6.375e-04  1.893e-04
 -83.57  9.214e-04 -4.981e-06
 -70.71  9.463e-04 -1.893e-04
 -57.86  1.400e-03 -5.479e-05
 -45.00  1.639e-03  3.486e-05
 -32.14  1.992e-03  4.981e-05
 -19.29  2.057e-03 -4.981e-06
  -6.43  2.007e-03 -8.467e-05
   6.43  1.853e-03 -2.092e-04
  19.29  1.848e-03 -1.544e-04
  32.14  1.604e-03 -1.992e-05
  45.00  1.385e-03 -3.985e-05
  57.86  1.300e-03 -1.146e-04
  70.71  1.096e-03 -1.395e-04
  83.57  9.413e-04  1.494e-05
  96.43  8.467e-04 -9.961e-05
 109.29  7.172e-04  9.961e-06
 122.14  5.728e-04 -1.046e-04
 135.00  5.678e-04 -1.494e-04
 147.86  4.532e-04  1.146e-04
 160.71  5.429e-04 -4.981e-06
 173.57  4.134e-04 -4.981e-06
